codgeo;libgeo;an;pop65p
01443;Villars-les-Dombes;2022;1213
01444;Villebois;2022;225
01445;Villemotier;2022;110
01446;Villeneuve;2022;236
01447;Villereversure;2022;381
01448;Villes;2022;65
01449;Villette-sur-Ain;2022;131
01450;Villieu-Loyes-Mollon;2022;647
01451;Viriat;2022;1406
01452;Virieu-le-Grand;2022;203
01453;Arvière-en-Valromey;2022;178
01454;Virignin;2022;157
01456;Vongnes;2022;27
01457;Vonnas;2022;787
02001;Abbécourt;2022;78
02002;Achery;2022;108
02003;Acy;2022;213
02004;Agnicourt-et-Séchelles;2022;41
02005;Aguilcourt;2022;71
02006;Aisonville-et-Bernoville;2022;57
02007;Aizelles;2022;19
02008;Aizy-Jouy;2022;43
02009;Alaincourt;2022;100
02010;Allemant;2022;26
02011;Ambleny;2022;250
02012;Ambrief;2022;8
02013;Amifontaine;2022;63
02014;Amigny-Rouy;2022;137
02015;Ancienville;2022;15
02016;Andelain;2022;32
02017;Anguilcourt-le-Sart;2022;45
02018;Anizy-le-Grand;2022;597
02019;Annois;2022;86
02020;Any-Martin-Rieux;2022;109
02021;Archon;2022;19
02022;Arcy-Sainte-Restitue;2022;69
02023;Armentières-sur-Ourcq;2022;22
02024;Arrancy;2022;14
02025;Artemps;2022;68
02027;Assis-sur-Serre;2022;44
02028;Athies-sous-Laon;2022;522
02029;Attilly;2022;70
02030;Aubencheul-aux-Bois;2022;62
02031;Aubenton;2022;149
02032;Aubigny-aux-Kaisnes;2022;35
02033;Aubigny-en-Laonnois;2022;27
02034;Audignicourt;2022;21
02035;Audigny;2022;40
02036;Augy;2022;12
02037;Aulnois-sous-Laon;2022;267
02038;Les Autels;2022;22
02039;Autremencourt;2022;27
02040;Autreppes;2022;31
02041;Autreville;2022;210
02042;Azy-sur-Marne;2022;91
02043;Bagneux;2022;11
02044;Bancigny;2022;5
02046;Barenton-Bugny;2022;123
02047;Barenton-Cel;2022;27
02048;Barenton-sur-Serre;2022;17
02049;Barisis-aux-Bois;2022;174
02050;Barzy-en-Thiérache;2022;64
02051;Barzy-sur-Marne;2022;97
02052;Bassoles-Aulers;2022;26
02053;Vallées en Champagne;2022;128
02054;Bazoches-et-Saint-Thibaut;2022;94
02055;Beaumé;2022;28
02056;Beaumont-en-Beine;2022;26
02057;Beaurevoir;2022;318
02058;Beaurieux;2022;132
02059;Beautor;2022;590
02060;Beauvois-en-Vermandois;2022;57
02061;Becquigny;2022;34
02062;Belleau;2022;29
02063;Bellenglise;2022;67
02064;Belleu;2022;1135
02065;Bellicourt;2022;109
02066;Benay;2022;34
02067;Bergues-sur-Sambre;2022;45
02068;Berlancourt;2022;18
02069;Berlise;2022;25
02070;Bernot;2022;86
02071;Berny-Rivière;2022;129
02072;Berrieux;2022;28
02073;Berry-au-Bac;2022;110
02074;Bertaucourt-Epourdon;2022;100
02075;Berthenicourt;2022;43
02076;Bertricourt;2022;14
02078;Besmé;2022;36
02079;Besmont;2022;40
02080;Besny-et-Loizy;2022;68
02081;Béthancourt-en-Vaux;2022;62
02082;Beugneux;2022;14
02083;Beuvardes;2022;142
02084;Bézu-le-Guéry;2022;35
02085;Bézu-Saint-Germain;2022;120
02086;Bichancourt;2022;211
02087;Bieuxy;2022;7
02088;Bièvres;2022;17
02089;Billy-sur-Aisne;2022;309
02090;Billy-sur-Ourcq;2022;26
02091;Blanzy-lès-Fismes;2022;22
02093;Blérancourt;2022;292
02094;Blesmes;2022;100
02095;Bohain-en-Vermandois;2022;1173
02096;Bois-lès-Pargny;2022;35
02097;Boncourt;2022;51
02098;Bonneil;2022;75
02099;Bonnesvalyn;2022;20
02100;Bony;2022;15
02101;Bosmont-sur-Serre;2022;42
02102;Bouconville-Vauclair;2022;41
02103;Boué;2022;303
02104;Bouffignereux;2022;21
02105;Bouresches;2022;37
02106;Bourg-et-Comin;2022;202
02107;Bourguignon-sous-Coucy;2022;24
02108;Bourguignon-sous-Montbavin;2022;31
02109;La Bouteille;2022;104
02110;Braine;2022;562
02111;Brancourt-en-Laonnois;2022;147
02112;Brancourt-le-Grand;2022;111
02114;Brasles;2022;492
02115;Braye-en-Laonnois;2022;38
02116;Braye-en-Thiérache;2022;43
02117;Bray-Saint-Christophe;2022;11
02118;Braye;2022;26
02119;Brécy;2022;55
02120;Brenelle;2022;45
02121;Breny;2022;48
02122;Brie;2022;18
02123;Brissay-Choigny;2022;67
02124;Brissy-Hamégicourt;2022;166
02125;Brumetz;2022;21
02126;Brunehamel;2022;125
02127;Bruyères-sur-Fère;2022;36
02128;Bruyères-et-Montbérault;2022;376
02129;Bruys;2022;4
02130;Bucilly;2022;55
02131;Bucy-le-Long;2022;429
02132;Bucy-lès-Cerny;2022;38
02133;Bucy-lès-Pierrepont;2022;73
02134;Buire;2022;199
02135;Buironfosse;2022;263
02136;Burelles;2022;22
02137;Bussiares;2022;14
02138;Buzancy;2022;48
02139;Caillouël-Crépigny;2022;113
02140;Camelin;2022;78
02141;La Capelle;2022;478
02142;Castres;2022;41
02143;Le Catelet;2022;44
02144;Caulaincourt;2022;16
02145;Caumont;2022;93
02146;Celles-lès-Condé;2022;24
02148;Celles-sur-Aisne;2022;47
02149;Cerizy;2022;11
02150;Cerny-en-Laonnois;2022;13
02151;Cerny-lès-Bucy;2022;20
02152;Cerseuil;2022;23
02153;Cessières-Suzy;2022;155
02154;Chacrise;2022;59
02155;Chaillevois;2022;46
02156;Chalandry;2022;44
02157;Chambry;2022;218
02158;Chamouille;2022;37
02159;Champs;2022;59
02160;Chaourse;2022;120
02162;La Chapelle-sur-Chézy;2022;33
02163;Charly-sur-Marne;2022;557
02164;Le Charmel;2022;72
02165;Charmes;2022;397
02166;Chartèves;2022;63
02167;Chassemy;2022;136
02168;Château-Thierry;2022;3269
02169;Châtillon-lès-Sons;2022;15
02170;Châtillon-sur-Oise;2022;30
02171;Chaudardes;2022;14
02172;Chaudun;2022;40
02173;Chauny;2022;2564
02174;Chavignon;2022;136
02175;Chavigny;2022;31
02176;Chavonne;2022;20
02177;Chérêt;2022;34
02178;Chermizy-Ailles;2022;17
02179;Chéry-Chartreuve;2022;69
02180;Chéry-lès-Pouilly;2022;134
02181;Chéry-lès-Rozoy;2022;23
02182;Chevennes;2022;24
02183;Chevregny;2022;39
02184;Chevresis-Monceau;2022;101
02185;Chézy-en-Orxois;2022;71
02186;Chézy-sur-Marne;2022;429
02187;Chierry;2022;301
02188;Chigny;2022;46
02189;Chivres-en-Laonnois;2022;56
02190;Chivres-Val;2022;128
02191;Chivy-lès-Étouvelles;2022;111
02192;Chouy;2022;41
02193;Cierges;2022;17
02194;Cilly;2022;56
02195;Ciry-Salsogne;2022;156
02196;Clacy-et-Thierret;2022;82
02197;Clairfontaine;2022;100
02198;Clamecy;2022;65
02199;Clastres;2022;107
02200;Clermont-les-Fermes;2022;15
02201;Cœuvres-et-Valsery;2022;136
02203;Coincy;2022;241
02204;Coingt;2022;25
02205;Colligis-Crandelain;2022;32
02206;Colonfay;2022;21
02207;Commenchon;2022;31
02208;Concevreux;2022;39
02209;Condé-en-Brie;2022;140
02210;Condé-sur-Aisne;2022;67
02211;Condé-sur-Suippe;2022;48
02212;Condren;2022;179
02213;Connigis;2022;66
02214;Contescourt;2022;5
02215;Corbeny;2022;182
02216;Corcy;2022;60
02217;Coucy-le-Château-Auffrique;2022;262
02218;Coucy-lès-Eppes;2022;127
02219;Coucy-la-Ville;2022;39
02220;Coulonges-Cohan;2022;69
02221;Coupru;2022;12
02222;Courbes;2022;10
02223;Courboin;2022;45
02224;Courcelles-sur-Vesle;2022;68
02225;Courchamps;2022;16
02226;Courmelles;2022;459
02227;Courmont;2022;34
02228;Courtemont-Varennes;2022;71
02229;Courtrizy-et-Fussigny;2022;16
02230;Couvrelles;2022;30
02231;Couvron-et-Aumencourt;2022;138
02232;Coyolles;2022;46
02233;Cramaille;2022;23
02234;Craonne;2022;18
02235;Craonnelle;2022;25
02236;Crécy-au-Mont;2022;66
02237;Crécy-sur-Serre;2022;344
02238;Crépy;2022;368
02239;Crézancy;2022;190
02240;Croix-Fonsomme;2022;41
02241;La Croix-sur-Ourcq;2022;13
02242;Crouttes-sur-Marne;2022;101
02243;Crouy;2022;720
02244;Crupilly;2022;8
02245;Cuffies;2022;342
02246;Cugny;2022;139
02248;Cuirieux;2022;28
02249;Cuiry-Housse;2022;22
02250;Cuiry-lès-Chaudardes;2022;6
02251;Cuiry-lès-Iviers;2022;10
02252;Cuissy-et-Geny;2022;10
02253;Cuisy-en-Almont;2022;72
02254;Cutry;2022;12
02255;Cys-la-Commune;2022;20
02256;Dagny-Lambercy;2022;34
02257;Dallon;2022;101
02258;Dammard;2022;69
02259;Dampleux;2022;77
02260;Danizy;2022;121
02261;Dercy;2022;74
02262;Deuillet;2022;39
02263;Dhuizel;2022;16
02264;Dizy-le-Gros;2022;151
