,nofinesset,rs,coordx,coordy
178,020004156,CLINIQUE TEMPS DE VIE SAINT-QUENTIN,"720,731.2","6,972,403"
179,020003935,EHPAD NOTRE DAME SAINT-QUENTIN,"720,634.4","6,972,507.2"
180,020003885,EFS NORD DE FRANCE SOISSONS,"724,153.7","6,919,044.3"
181,020004198,ETS-LBM EFS SAINT-QUENTIN,"719,367.5","6,973,708.2"
182,020004420,CPEF CD02 HIRSON,"777,157.1","6,981,196.7"
183,020004578,IFSI-IFAS SAINT-QUENTIN,"719,367.5","6,973,708.2"
184,020004701,EHPAD CH LA FÈRE,"726,032.5","6,951,629.7"
185,020004651,FH EPHESE LIESSE-NOTRE-DAME,"758,397.3","6,945,745.3"
186,020007050,PHARMACIE BASSET,"726,579.9","6,972,108.3"
187,020006490,PHARMACIE DE GUIGNICOURT,"770,173.8","6,926,629"
188,020007019,SERVICE D'AIDE-MENAGERES,"720,881.4","6,875,239.7"
189,020008637,MAS APEI LAON,"746,067.4","6,938,736.4"
190,020007696,SELARL PHARMACIE FRANCART,"745,355.1","6,939,573.2"
191,020008868,CMP EPSMD HIRSON ENFANT,"778,035.2","6,980,406.6"
192,020008702,MAS EPHESE GUISE,"745,795.3","6,979,005.3"
193,020008900,CMP EPSMD CHAUNY ENFANT,"715,649.4","6,946,631.9"
194,020008884,CMP EPSMD CHÂTEAU-THIERRY ENFANT,"729,230.4","6,882,966.7"
195,020009403,LA BOISSELLE SAINT-QUENTIN,"721,719.8","6,972,555"
196,020009791,SELARL PHARMACIE DU VAL D'ORIGNY,"734,934.5","6,971,325.2"
197,020010005,CASSPA,"723,506.2","6,919,446.5"
198,020010435,MARPA MSA TUPIGNY,"743,597.3","6,984,473.4"
199,020010740,PHARMACIE LOYEUX-DUBREUIL,"720,753.8","6,973,405"
200,020010575,SERVICE DE PORTAGE DE REPAS,"720,967.2","6,971,741.1"
201,020011565,PHARMACIE DE LA POSTE,"723,838.6","6,920,080.6"
202,020013124,SERVICE D'AIDE MÉNAGÈRE À DOMICILE,"721,895.2","6,971,296.5"
203,020013710,SERVICE D'AIDE MENAGERE,"727,520.7","6,986,562.3"
204,020013397,SERVICE D'AIDE A DOMICILE,"720,881.4","6,875,239.7"
205,020011581,PHARMACIE SAMSON,"723,427.8","6,920,334.4"
206,020013520,SERVICE D'AIDE MENAGERE,"719,954.3","6,979,910.3"
207,020011631,SELARL PHARMACIE SAINT MARTIN,"723,857.2","6,919,951.7"
208,020011243,PHARMACIE DUGAY,"720,694","6,972,036.6"
209,020011524,PHARMACIE QUAILLET,"722,435.2","6,919,587"
210,020012191,PHARMACIE DE VIRY,"717,584.7","6,948,027.5"
211,020012092,PHARMACIE RINGEVAL PAGNIEZ - PROISY,"724,541","6,919,534.1"
212,020013892,SERVICE D'AIDE AUX PERSONNES,"723,454.2","6,920,522.4"
213,020013553,SERVICE D'AIDE MENAGERE,"719,094.9","6,896,853.6"
214,020013975,SERVICE D'AIDE MENAGERE,"781,517.6","6,957,304.5"
215,020014205,SERVICE D'AIDE MENAGERE,"743,597.3","6,984,473.4"
216,020013835,SERVICE D'AIDE MÉNAGERE,"723,316.8","6,919,298.1"
217,020014536,CMP EPSMD CHÂTEAU-THIERRY ADULTE,"729,975.1","6,882,308.5"
218,020013280,SERVICE D'AIDE MÉNAGERE,"721,014.2","6,951,280.7"
219,020014445,FV AJP MONT-D'ORIGNY,"736,355.2","6,971,751.7"
220,020006276,CSAPA CHA SOISSONS,"723,744.9","6,920,514.9"
221,020011862,PHARMACIE RAUSCENT CORNIQUET,"721,681.2","6,952,236.6"
222,010009124,AT OYONNAX,"904,507.7","6,576,532.4"
223,010007979,RÉSIDENCE SOCIALE PAUL BARBEROT,"870,748.1","6,569,348.9"
224,050003409,FAM CHANTOISEAU,"985,615","6,430,906"
225,010003069,SERVICE D'ACCOMPAGNEMENT À LA VIE SOC.,"871,717.6","6,570,373.3"
226,050002849,IFSI DU CH BRIANÇON,"986,373.7","6,429,756.2"
227,010003689,SIAAM01 - SAFEP - SAAAIS,"872,464.7","6,569,728"
228,020012159,SELARL PHARMACIE DE LA THIERACHE,"765,293.7","6,971,001.8"
229,020012258,SESSAD EPHESE SAINT-QUENTIN,"719,224.5","6,970,830.9"
230,050003888,SAMSAH URAPEDA PACA,"945,057.5","6,389,730.7"
231,040004236,SACAT,"958,694.9","6,339,662.9"
232,030006720,LBM GEN BIO MONTLUÇON DORMOY,"669,245.6","6,582,187.1"
233,030006753,LBM GEN BIO MONTLUÇON SAINT FRANÇOIS,"670,603.9","6,582,817.3"
234,010008985,LBM NOVELAB PERONNAS,"870,011.3","6,566,964.8"
235,010009025,ACCUEIL DE JOUR LES JARDINS D'ALOÏS,"904,115.1","6,576,520"
236,020015384,SSIAD ADMR FRESNOY BOHAIN-EN-VERMANDOI,"732,630.9","6,987,684.4"
237,020015533,MAISON RELAIS FERME DE MOYEMBRIE,"716,267.5","6,945,738"
238,010009223,EHPAD LES HELLEBORES GROISSIAT,"900,979.5","6,572,377.3"
239,010009249,LBM NOVELAB THOISSEY,"838,966.5","6,565,190.3"
240,030007074,MAISON RELAIS LE MOULIN,"725,033.5","6,607,412.7"
241,010009348,SESSAD FERNEY VOLTAIRE,"939,753.3","6,578,202.6"
242,010009389,UDAF,"871,040.1","6,568,854.8"
243,030007157,MSP JACQUES CORTEZ,"761,153.2","6,583,941.3"
244,010009629,GCS PR L'ASSOC. PRATIC. LIB. -ET SIEGE,"871,098.5","6,569,397.6"
245,010009678,MECS SEILLON ADOS +,"871,619.7","6,567,156.2"
246,050007392,GCS DES HAUTES ALPES ET SIEGE,"986,650.5","6,429,714.6"
247,010009744,FOYER RESIDENCE ROBERT SCHUMAN,"933,922.2","6,575,952.2"
248,020016002,CENTRE DE SANTE DENTAIRE MUTUALISTE,"715,682.5","6,947,644"
249,020016028,COALLIA RESIDENCE SOCIALE DE SOISSONS,"724,880.3","6,918,455.9"
250,010010007,C.A.T.T.P. PSYCHIATRIE ADULTES,"863,816.9","6,584,127.8"
251,010010056,PROPHARMACIE PERROUD JEAN-CLAUDE,"897,169.8","6,518,805.7"
252,010010155,UEAJ BOURG EN BRESSE,"872,045.3","6,569,361"
253,020016259,CAJ APEI LAON,"745,754.4","6,938,749.1"
254,050007681,LA SAPINETTE CENTRE MATERNEL,"945,579.2","6,389,549.9"
255,010010536,MAISON DE SANTE DE LA VALLIERE,"879,397.3","6,566,995.2"
256,010010601,FAM  LES PASSERELLES DE LA DOMBES,"851,081.7","6,532,318.9"
257,010010841,CENTRE ACCUEIL DE JOUR PLATEFORME ACC,"873,173.6","6,571,006.4"
258,050007756,SELARL BIOMED 05 EMBRUN,"976,608.2","6,389,965.2"
259,010011195,AIN MEDICAL,"871,371.7","6,571,773.1"
260,040005076,7 ORTHO,"924,948.3","6,306,607.7"
261,020016903,SESSAD EPHESE,"764,604.9","6,941,015.9"
262,030007900,MECS MNA ADSEA,"734,457.9","6,557,180.8"
263,010011484,MAISON DE SANTE ST-DENIS-LES-BOURG,"869,710.5","6,569,349"
264,050008044,FAM LARAGNE,"924,595.9","6,361,891.9"
265,020017273,MSP DE LAON QUARTIER DE MONTREUIL,"744,867.4","6,940,717.4"
266,040005241,SCANNER GIE MANOSCAN SITE CH MANOSQUE,"925,988.9","6,307,153"
267,050008101,IRM DES ALPES DU SUD SITE CHICAS GAP,"944,027.7","6,388,895.9"
268,080010010,SERVICE D'ACCOMPAGNEMT POLYVAL LIANT,"817,429.6","6,972,138.5"
269,060005790,SELAS PHARMACIE DU CANDEOU,"1,012,832.7","6,289,906.2"
270,060007176,SELARL PHARMACIE DU PEYRON,"1,033,740.3","6,302,788.4"
271,060007226,PHARMACIE HAIDER,"1,037,238.7","6,296,469.8"
272,060006343,PHARMACIE DUPUY,"1,012,167.9","6,324,988.1"
273,060007762,SELARL PHARMACIE CAUJOLLE,"1,057,262.7","6,318,794.6"
274,060010881,SELARL PHIE DES HAMEAUX DU SOLEIL,"1,032,289","6,294,335.5"
275,060010642,SELARL PHARMACIE DU FRENE,"1,031,406.7","6,300,139.5"
276,060009925,PHARMACIE AOUIZERAT,"1,022,549.9","6,286,120.3"
277,060011343,SNC PHIE DE L'HÔTEL DE VILLE B.ARNAUD,"1,024,182.1","6,280,720.6"
278,060013240,PHARMACIE LESCANE,"1,032,523.5","6,284,876.6"
279,060011897,SELARL PHARMACIE DU MARCHE,"1,021,192.8","6,280,428.9"
280,060010741,SELARL PHARMACIE LA VENCOISE,"1,031,333.8","6,300,093.7"
281,060010261,SELARL PHARMACIE DE LA TURBIE,"1,054,329","6,303,950"
282,060011574,SELEURL PHARMACIE UHLRICH,"1,024,464.5","6,282,239.1"
283,060012077,PHARMACIE FODDA,"1,021,644.4","6,280,272.8"
284,060012531,PHARMACIE VERDAN,"1,018,200.8","6,280,651.5"
285,060015146,SELARL PHARMACIE VELAY,"1,042,978.9","6,300,070.4"
286,060012960,SELARL PHARMACIE DES TERRES BLANCHES,"1,031,374","6,285,601"
287,060014800,PHARMACIE THOUVENOT,"1,044,410.7","6,299,932.4"
288,060013190,SELARL PHARMACIE BAGUE,"1,033,090.1","6,284,484.4"
289,060013646,PHARMACIE VIALE,"1,016,323.4","6,292,249.3"
290,060013513,SELAS PHARMACIE WILSON,"1,032,496.8","6,283,644"
291,060013463,SELARL PHARMACIE CLEDON,"1,031,998.1","6,283,237.9"
292,060013976,SNC PHARMACIE DU PLAN DE GRASSE,"1,019,254.8","6,290,553.6"
293,060014511,PHARMACIE GROSPELLIER-BONINCHI,"1,061,333.1","6,309,651.5"
294,060014875,EURL PHARMACIE GENY-MARTINON,"1,045,463.8","6,298,437.4"
295,060016714,SELARL PHARMACIE JOSEPH GARNIER,"1,043,024","6,299,356.3"
296,060017076,PHARMACIE LANCE,"1,044,346.4","6,298,312.5"
297,060017761,SELARL PHARMACIE MASSENA,"1,043,985.7","6,298,040"
298,060016946,SELARL PHARMACIE CARLIN,"1,042,819","6,301,025.3"
299,060016292,SELARL PHARMACIE FELIX FAURE,"1,044,301.4","6,298,088.7"
300,060018314,PHARMACIE DIBO COHEN,"1,045,163.9","6,299,090.5"
301,060019494,MAISON DE L'ENFANCE LA TRINITE,"1,047,399.3","6,303,161.4"
302,060018926,PHARMACIE MATTEI,"1,045,177.6","6,300,038.4"
303,060019502,CENTRE DE PLANIFICATION,"1,032,585.2","6,286,551.8"
304,060017860,SELARL PHARMACIE DE PARIS,"1,043,715.7","6,298,830.4"
305,060019064,SELARL PHARMACIE INTERNATIONALE,"1,043,614","6,298,830.7"
306,060019643,CMP DU CHS SAINTE MARIE,"1,012,572.3","6,325,115.6"
307,060020906,SESSAD HENRI WALLON,"1,033,121.8","6,291,720.3"
308,060020310,SELARL PHARMACIE DES 4 CHEMINS,"1,032,101.9","6,286,880.7"
309,060021433,PHARMACIE MESTRE-SIMO,"1,037,581.6","6,294,484.6"
310,060780038,ITEP LA LUERNA (EP),"1,039,532.6","6,296,865.7"
311,060781275,EHPAD MAISON RUSSE DE SAINTE ANASTASIE,"1,060,909.8","6,306,855.9"
312,060781416,EHPAD SAINTE CROIX,"1,045,359","6,328,651.5"
313,060780749,CLINIQUE SAINT LUC,"1,044,793.2","6,300,904.2"
314,060781556,FOYER MONTBRILLANT,"1,022,422.2","6,280,956.2"
315,060781390,EHPAD AU SAVEL,"1,046,332","6,311,573.9"
316,060780939,EHPAD LE TOUZE,"1,069,065.3","6,340,079.7"
317,060781598,ESAT LES OLIVIERS DU TAOURO,"1,033,059.1","6,298,274.8"
318,060782240,LOGEMENT FOYER GAMBETTA,"1,042,928.3","6,299,211.5"
319,060782364,PETITES SOEURS DES PAUVRES - MA MAISON,"1,044,945.6","6,299,578.4"
320,060785052,IME PIERRE MERLI,"1,029,736.5","6,286,055.2"
321,060785243,HAD DE NICE ET REGION,"1,043,783.9","6,297,844.4"
322,060786894,CHRS RÉSO,"1,031,371.1","6,285,729.2"
323,060787348,CENTRE PMI DE VENCE,"1,031,525.9","6,299,942"
324,060787520,CONSULT.PMI ST VINCENT DE PAUL,"1,045,470.6","6,298,563.5"
325,060787231,CONSULTATION PMI PUGET THENIERS,"1,012,582.4","6,325,190.7"
326,060787553,IRFSS PACA & CORSE - SITE DE NICE,"1,044,411.3","6,301,364.4"
327,060788189,SERVICE AIDE MENAGE BEAUSOLEIL,"1,056,246.3","6,303,721"
328,060787835,CMP HJ PSY SAINTE AGATHE,"1,043,783.9","6,297,844.4"
329,060788148,SERVICE AIDE MENAGERE CONTES,"1,047,038.6","6,310,871.2"
330,060788072,SERVICE AIDE MENAGERE,"1,017,771.6","6,279,439.2"
331,060787918,SERVICE AIDE MENAGERE CARROS,"1,037,505.6","6,306,043.3"
332,060789195,CHU DE NICE HOPITAL DE L'ARCHET,"1,038,763.1","6,298,190.5"
333,060789021,CENTRE D'ACCUEIL URGENCE SOCIALE NICE,"1,043,086.4","6,298,906"
334,060789989,CENTRE DE PMI VILLA GENTIL,"1,024,981.9","6,283,188.1"
335,060790227,SSIAD DU CCAS DE MENTON,"1,061,961.6","6,307,585.1"
336,060789039,SSIAD SAINT JEAN D'ANGELY,"1,045,681.4","6,299,378.8"
337,060789716,ESAT LES PRES,"1,034,102.6","6,302,799.5"
338,060790912,SSIAD CCAS ANTIBES,"1,032,889.7","6,284,818.7"
339,060790870,SSIAD DES VALLEES VAR ET TINEE,"1,028,835.2","6,323,862.1"
