BOR,AN,420,FI_EJ,LIT_MED,JLI_MED,SEJHC_MED,SEJ0_MED,JOU_MED,LIT_CHI,JLI_CHI,SEJHC_CHI,SEJ0_CHI,JOU_CHI,LIT_OBS,JLI_OBS,SEJHC_OBS,SEJ0_OBS,JOU_OBS,LIT_MCO,JLI_MCO,SEJHC_MCO,SEJ0_MCO,JOU_MCO,PLA_MED,SEJHP_MED,PLAN_MED,SEJN_MED,SEA_MED,PLA_CHI,SEJHP_CHI,PLA_OBS,SEJHP_OBS,PLAN_OBS,SEJN_OBS,PLA_MCO,SEJHP_MCO,PLAN_MCO,SEJN_MCO,SEA_MCO,PCAR,PDER,PEND,PGAS,PNEU,PPED,PPNE,PRHU,POPH,DEND,DNEU,DPED,DOPH,ACTCLI_PM,ACTCLI_SAG,ACTTEC_PM,ACTTEC_DEN,ACTTEC_SAG,ACTTEC_PNM
MCO,2018,380000109,380780213,10,4070,367,3,3512,,,0,0,0,,,0,0,0,10,4070,367,3,3512,,0,,,1,,0,,0,,,,0,,,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,
MCO,2018,380000174,380781435,236,78110,11340,604,73618,48,16064,2497,221,10560,28,10220,2171,105,8476,312,104394,16008,930,92654,14,1623,0,0,1938,10,1376,2,602,0,0,26,3601,0,0,1938,1,1,1,1,1,1,1,1,1,72,48,46,34,46040,10272,49059,122,10921,15793
MCO,2018,380000406,380784751,97,35405,7304,796,31811,42,15330,2079,42,11860,27,9855,1726,82,6922,166,60590,11109,920,50593,3,714,1,15,1315,9,855,3,929,,,16,2498,1,15,1315,1,0,0,1,1,1,1,0,1,,,,,31453,1575,16678,,3261,4133
MCO,2018,380012658,380012609,171,59791,10034,1384,53423,103,34891,5813,229,22684,29,10585,1979,80,8081,303,105267,17826,1693,84188,3,764,,,35772,68,18595,0,10,,,71,19369,,,35772,1,0,1,1,1,1,1,1,0,,,,,63719,3618,22609,,5486,
MCO,2018,380013037,380013011,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,4678,,,0,1,105,,0,,,9,4783,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
MCO,2018,380020123,380021139,30,10950,1655,686,7387,0,0,300,15,1062,,,0,0,0,30,10950,1955,701,8449,,0,,,41,12,2113,,0,,,12,2113,,,41,,,,,,,,,,,,,,3279,,,,,
MCO,2018,380020388,380784751,26,9490,587,5,7982,,,0,0,0,,,0,0,0,26,9490,587,5,7982,1,53,,,1,,0,,0,,,1,53,,,1,,,,,,,,,,,,,,,,,,,
MCO,2018,380780197,380798173,6,2190,119,4,1766,54,19710,3178,0,9502,33,12045,1426,20,6460,93,33945,4723,24,17728,,0,,,1,37,7479,,0,,,37,7479,,,1,,,,,,,,,,,,,,,,,,,
MCO,2018,380780288,380019224,3,1095,120,11,435,29,10585,2511,949,5336,,,0,0,0,32,11680,2631,960,5771,,0,,,38,17,8057,,0,,,17,8057,,,38,,,,,,,,,,,,,,,,,,,
MCO,2018,380782722,380780080,24,8744,1053,6,8251,57,22786,3120,106,17238,,,0,0,0,81,31530,4173,112,25489,6,612,,,1975,6,1072,,0,,,12,1684,,,1975,0,0,0,0,0,0,0,1,0,,,,,31358,,37207,,,10907
MCO,2018,380785956,380795211,59,21535,3874,1352,11952,66,24090,5161,211,20502,31,11315,1235,27,4901,156,56940,10270,1590,37355,0,0,0,0,135,24,13105,0,27,,,24,13132,0,0,135,,,,,,,,,,,,,,,,,,,
MCO,2018,380786442,380798025,74,27010,5442,1608,18056,128,46720,7567,0,25248,40,14600,2276,63,11800,242,88330,15285,1671,55104,,0,,,63,48,20032,,0,,,48,20032,,,63,,,,,,,,,,,,,,,,,,,
MCO,2018,390000040,390780146,228,82603,11349,974,70776,45,16410,2706,161,13172,25,9125,1742,120,6247,298,108138,15797,1255,90195,8,366,1,135,4237,15,2581,0,7,0,0,24,2954,1,135,4237,1,1,1,1,1,1,1,1,0,40,117,18,0,44670,3628,27305,116,4373,6860
